iter	Passed	Remaining
1397	3998	291
1398	4001	288
1399	4003	285
1400	4006	283
1401	4008	280
1402	4011	277
1403	4014	274
1404	4016	271
1405	4019	268
1406	4021	265
1407	4024	262
1408	4027	260
1409	4029	257
1410	4032	254
1411	4034	251
1412	4037	248
1413	4039	245
1414	4042	242
1415	4045	239
1416	4047	237
1417	4050	234
1418	4053	231
1419	4056	228
1420	4059	225
1421	4062	222
1422	4066	220
1423	4071	217
1424	4074	214
1425	4076	211
1426	4079	208
1427	4082	205
1428	4086	203
1429	4088	200
1430	4091	197
1431	4093	194
1432	4096	191
1433	4099	188
1434	4102	185
1435	4104	182
1436	4107	180
1437	4109	177
1438	4112	174
1439	4115	171
1440	4117	168
1441	4120	165
1442	4123	162
1443	4125	160
1444	4128	157
1445	4131	154
1446	4134	151
1447	4137	148
1448	4139	145
1449	4142	142
1450	4144	139
1451	4147	137
1452	4149	134
1453	4152	131
1454	4155	128
1455	4158	125
1456	4160	122
1457	4163	119
1458	4165	117
1459	4168	114
1460	4171	111
1461	4174	108
1462	4176	105
1463	4179	102
1464	4181	99
1465	4184	97
1466	4187	94
1467	4189	91
1468	4192	88
1469	4195	85
1470	4197	82
1471	4200	79
1472	4202	77
1473	4207	74
1474	4210	71
1475	4213	68
1476	4215	65
1477	4217	62
1478	4220	59
1479	4223	57
1480	4225	54
1481	4228	51
1482	4231	48
1483	4233	45
1484	4236	42
1485	4238	39
1486	4241	37
1487	4243	34
1488	4246	31
1489	4249	28
1490	4251	25
1491	4254	22
1492	4256	19
1493	4259	17
1494	4262	14
1495	4264	11
1496	4267	8
1497	4269	5
1498	4272	2
1499	4275	0
