Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,FallState,DwellState
2025-12-04 01:58:34.492443,1,1,1,15,80,0,0
2025-12-04 01:58:47.807527,1,2,1,18,69,0,0
2025-12-04 01:59:01.222468,1,1,4,21,69,0,0
2025-12-04 01:59:14.590604,1,2,4,24,72,0,0
2025-12-04 01:59:28.005333,1,1,1,25,87,0,0
2025-12-04 01:59:40.820088,1,1,1,25,92,0,0
2025-12-04 01:59:53.734219,1,1,1,25,97,0,0
2025-12-04 02:00:08.148324,1,1,2,23,97,0,0
2025-12-04 02:00:22.609610,1,2,4,21,93,0,0
2025-12-04 02:00:37.024557,1,2,3,23,90,0,0
2025-12-04 02:00:49.885764,1,2,2,20,88,0,0
2025-12-04 02:01:02.698914,1,2,6,19,72,0,0
2025-12-04 02:01:16.562737,1,2,3,20,75,0,0
2025-12-04 02:01:29.878158,1,1,1,17,75,0,0
2025-12-04 02:01:42.690752,1,2,26,15,67,0,0
2025-12-04 02:01:55.654127,1,2,1,15,72,0,0
2025-12-04 02:02:09.610365,1,1,1,13,73,0,0
2025-12-04 02:02:22.472626,1,1,1,16,88,0,0
2025-12-04 02:02:35.284278,1,1,1,18,87,0,0
2025-12-04 02:02:48.245713,1,1,1,18,77,0,0
2025-12-04 02:03:01.706909,1,1,1,19,74,0,0
2025-12-04 02:03:16.625053,1,1,1,21,89,0,0
2025-12-04 02:03:29.931420,1,1,1,18,79,0,0
2025-12-04 02:03:42.743010,1,2,1,20,66,0,0
2025-12-04 02:03:55.706786,1,1,1,22,65,0,0
2025-12-04 02:04:09.664848,1,1,1,20,65,0,0
2025-12-04 02:04:22.528166,1,1,1,13,62,0,0
2025-12-04 02:04:35.335770,1,1,1,12,62,0,0
2025-12-04 02:04:48.296842,1,1,1,15,62,0,0
2025-12-04 02:05:01.756711,1,1,1,15,62,0,0
2025-12-04 02:05:15.719132,1,1,1,12,62,0,0
2025-12-04 02:05:28.577683,1,1,1,11,62,0,0
2025-12-04 02:05:41.592141,1,1,1,11,62,0,0
2025-12-04 02:05:54.352801,1,1,1,11,62,0,0
2025-12-04 02:06:08.310834,1,1,1,11,62,0,0
2025-12-04 02:06:22.727329,1,1,1,11,62,0,0
2025-12-04 02:06:35.535554,1,1,1,11,62,0,0
2025-12-04 02:06:49.444360,1,1,1,11,62,0,0
2025-12-04 02:07:02.357139,1,1,1,11,62,0,0
2025-12-04 02:07:16.763881,1,1,1,11,62,0,0
2025-12-04 02:07:29.626339,1,1,1,11,62,0,0
2025-12-04 02:07:42.435604,1,1,1,11,62,0,0
2025-12-04 02:07:56.406238,1,1,1,11,62,0,0
2025-12-04 02:08:09.406045,1,1,1,11,62,0,0
2025-12-04 02:08:23.321446,1,1,1,11,62,0,0
2025-12-04 02:08:37.324074,1,1,1,11,63,0,0
2025-12-04 02:08:50.298285,1,1,1,11,63,0,0
2025-12-04 02:09:03.646525,1,1,1,13,65,0,0
2025-12-04 02:09:16.470383,1,1,1,16,64,0,0
2025-12-04 02:09:29.381513,1,1,1,14,68,0,0
2025-12-04 02:09:43.383282,1,1,1,12,62,0,0
2025-12-04 02:09:56.360175,1,1,1,12,62,0,0
2025-12-04 02:10:09.308804,1,1,1,12,62,0,0
2025-12-04 02:10:22.671429,1,1,1,12,62,0,0
2025-12-04 02:10:35.528867,1,1,1,13,67,0,0
2025-12-04 02:10:48.441430,1,1,1,16,70,0,0
2025-12-04 02:11:01.898976,1,1,1,20,80,0,0
2025-12-04 02:11:15.809198,1,1,1,23,85,0,0
2025-12-04 02:11:29.120352,1,1,1,25,94,0,0
2025-12-04 02:11:42.532947,1,1,1,25,100,0,0
2025-12-04 02:11:56.494124,1,1,1,25,100,0,0
2025-12-04 02:12:10.854037,1,1,1,25,98,0,0
2025-12-04 02:12:23.725339,1,1,1,25,86,0,0
2025-12-04 02:12:36.524361,1,1,1,25,92,0,0
2025-12-04 02:12:50.485440,1,1,1,25,97,0,0
2025-12-04 02:13:04.847187,1,1,1,25,102,0,0
